,study_hours,attendance,sleep_hours,internet_usage,assignments_completed,previous_score,exam_score,placement_status
64,10,56,7,4,11,88,100.0,Placed
65,4,89,9,9,19,44,87.79,Placed
66,6,76,5,8,19,36,94.36,Placed
67,2,85,9,7,3,85,79.22,Placed
68,10,81,8,4,14,70,100.0,Placed
69,2,54,4,9,5,82,75.9,Placed
70,10,72,9,4,4,40,97.31,Placed
71,4,55,9,1,10,77,79.43,Placed
72,8,50,9,6,13,51,90.85,Placed
73,7,94,4,4,10,49,79.2,Placed
74,9,59,6,10,8,88,94.64,Placed
75,8,77,4,3,9,70,100.0,Placed
76,5,63,6,5,5,58,81.79,Placed
77,2,100,8,3,10,91,100.0,Placed
78,5,93,4,11,8,74,78.06,Placed
79,8,55,6,9,4,90,88.14,Placed
80,10,69,8,6,9,95,100.0,Placed
81,9,73,8,3,19,63,100.0,Placed
82,9,40,6,5,13,84,100.0,Placed
83,1,63,6,8,5,48,58.42,Not Placed
84,9,63,5,8,3,92,91.0,Placed
85,7,48,8,6,20,36,74.11,Placed
86,9,61,6,5,9,82,100.0,Placed
87,8,51,8,5,10,56,100.0,Placed
88,1,56,4,1,15,81,81.53,Placed
89,8,64,7,2,6,87,100.0,Placed
90,8,67,7,11,17,40,100.0,Placed
91,11,100,9,4,6,43,100.0,Placed
92,3,54,6,6,20,46,52.47,Not Placed
93,1,69,6,11,14,76,54.6,Not Placed
94,8,90,8,7,18,73,100.0,Placed
95,3,66,9,1,17,39,95.63,Placed
96,3,61,6,8,14,92,100.0,Placed
97,1,49,8,1,17,89,100.0,Placed
98,11,100,6,9,2,74,100.0,Placed
99,5,97,8,4,0,93,83.41,Placed
100,10,70,6,7,0,78,93.78,Placed
101,7,66,5,11,6,35,58.75,Not Placed
102,10,51,8,6,9,44,96.83,Placed
103,9,85,5,9,11,45,81.65,Placed
104,7,70,5,2,7,61,91.93,Placed
105,9,71,5,11,16,57,83.67,Placed
106,8,71,5,7,13,54,92.53,Placed
107,2,80,4,11,16,39,80.98,Placed
108,1,98,9,5,20,47,87.38,Placed
109,7,84,7,7,5,84,92.97,Placed
110,7,74,4,1,19,44,100.0,Placed
111,8,92,6,11,16,87,100.0,Placed
112,5,100,6,11,19,91,100.0,Placed
113,3,85,9,10,7,83,79.25,Placed
114,8,60,7,9,12,85,99.19,Placed
115,6,49,7,1,15,70,100.0,Placed
116,11,55,7,5,11,75,100.0,Placed
117,3,46,5,8,16,84,76.5,Placed
118,1,43,4,1,17,50,67.23,Not Placed
119,3,66,6,7,7,41,42.95,Not Placed
120,5,91,4,2,17,66,100.0,Placed
121,3,94,4,7,10,59,80.42,Placed
122,1,64,4,7,12,78,80.7,Placed
123,5,70,7,9,11,60,76.84,Placed
124,10,50,9,6,14,70,100.0,Placed
125,7,87,9,4,2,87,100.0,Placed
126,7,59,7,7,2,62,61.18,Not Placed
127,11,75,6,7,5,78,96.23,Placed
128,9,93,6,4,2,46,97.52,Placed
129,10,93,6,2,8,60,100.0,Placed
130,10,94,9,11,10,38,100.0,Placed
131,3,56,9,9,7,78,68.4,Not Placed
132,7,84,4,8,3,57,64.42,Not Placed
133,1,50,7,5,19,74,89.89,Placed
134,4,69,5,5,14,58,86.57,Placed
135,4,74,4,1,4,65,57.59,Not Placed
136,5,80,8,11,6,64,80.41,Placed
137,7,77,9,9,7,37,100.0,Placed
138,7,61,4,11,6,50,76.1,Placed
139,11,92,7,10,7,68,100.0,Placed
140,4,82,8,11,3,72,78.37,Placed
141,7,87,4,8,0,62,75.24,Placed
142,11,90,7,5,4,83,100.0,Placed
143,3,66,7,10,10,78,68.74,Not Placed
144,6,76,9,6,3,75,100.0,Placed
145,2,85,5,10,1,82,53.86,Not Placed
146,10,88,4,11,16,41,100.0,Placed
147,9,74,7,10,11,42,99.95,Placed
148,5,43,6,8,1,41,64.74,Not Placed
149,6,55,7,6,8,87,100.0,Placed
150,4,55,5,10,5,71,51.16,Not Placed
151,11,60,7,4,5,89,100.0,Placed
152,10,65,9,3,17,41,100.0,Placed
153,7,96,4,7,2,84,100.0,Placed
154,9,75,9,2,14,52,100.0,Placed
155,7,58,4,7,6,82,77.41,Placed
156,1,97,8,1,12,73,80.46,Placed
157,1,56,4,10,9,55,52.3,Not Placed
158,9,84,8,5,3,68,100.0,Placed
159,11,65,9,9,15,83,100.0,Placed
160,9,61,6,1,8,91,100.0,Placed
161,4,94,5,8,20,61,97.87,Placed
162,9,97,6,9,9,42,95.55,Placed
163,3,95,8,9,18,68,97.57,Placed
164,7,67,7,8,16,52,78.95,Placed
165,6,40,7,4,0,85,69.63,Not Placed
166,8,83,6,7,12,86,100.0,Placed
167,11,75,7,1,3,75,100.0,Placed
168,9,82,8,7,14,46,100.0,Placed
169,5,76,9,6,9,56,100.0,Placed
170,1,41,5,5,19,85,93.55,Placed
171,3,56,4,1,8,74,69.9,Not Placed
172,10,79,8,8,7,56,100.0,Placed
173,8,77,8,10,19,42,100.0,Placed
174,11,60,4,1,5,76,100.0,Placed
175,6,100,4,1,9,62,98.75,Placed
176,8,48,5,3,19,84,100.0,Placed
177,9,52,5,8,16,81,100.0,Placed
178,4,50,5,8,4,90,64.38,Not Placed
179,1,100,7,7,13,66,83.93,Placed
180,1,55,8,5,16,45,72.47,Placed
181,10,55,9,8,10,55,98.05,Placed
182,4,98,4,2,3,60,65.9,Not Placed
183,7,41,8,8,16,48,94.97,Placed
184,2,81,8,11,1,49,65.41,Not Placed
185,3,83,5,2,20,48,95.34,Placed
186,1,47,5,10,0,46,26.89,Not Placed
187,5,82,8,5,17,70,100.0,Placed
188,1,81,5,11,6,37,46.59,Not Placed
189,8,52,7,4,5,78,93.02,Placed
190,1,96,4,1,5,91,54.25,Not Placed
191,11,56,8,5,13,92,100.0,Placed
192,1,78,4,7,11,41,71.51,Placed
193,2,63,7,1,13,73,100.0,Placed
194,2,42,5,2,13,88,95.76,Placed
195,6,69,6,9,11,91,88.38,Placed
196,7,91,7,5,8,85,100.0,Placed
197,5,52,6,7,8,80,79.31,Placed
198,1,58,4,2,1,35,38.92,Not Placed
199,1,46,8,7,17,73,67.08,Not Placed
200,3,48,5,7,4,59,62.79,Not Placed
201,2,58,7,7,11,65,60.81,Not Placed
202,5,84,5,5,13,56,68.09,Not Placed
203,10,93,6,9,12,44,100.0,Placed
204,6,79,6,2,2,52,55.51,Not Placed
205,7,61,9,4,14,47,91.22,Placed
206,4,57,8,2,14,42,90.5,Placed
207,7,100,6,8,2,43,91.92,Placed
208,11,62,8,11,19,92,100.0,Placed
209,8,41,9,1,18,49,100.0,Placed
210,11,89,7,9,14,42,100.0,Placed
211,1,89,9,5,18,91,96.83,Placed
212,6,50,8,11,7,67,93.96,Placed
213,8,70,6,3,12,69,94.41,Placed
214,5,72,4,11,9,53,72.34,Placed
215,4,53,8,4,1,64,76.14,Placed
216,2,55,5,1,10,43,45.65,Not Placed
217,6,50,4,3,18,53,67.45,Not Placed
218,6,72,8,11,8,81,98.71,Placed
219,11,46,5,8,8,80,87.65,Placed
220,1,70,9,2,5,60,75.2,Placed
221,9,100,4,2,9,35,90.34,Placed
222,11,87,8,9,7,37,100.0,Placed
223,6,85,7,5,14,68,100.0,Placed
224,3,86,9,5,5,59,90.95,Placed
225,4,53,5,1,6,64,79.73,Placed
226,11,67,7,6,19,35,100.0,Placed
227,4,92,6,8,16,93,100.0,Placed
228,3,82,9,6,3,52,62.93,Not Placed
229,10,55,9,7,7,67,100.0,Placed
230,3,58,8,4,12,43,84.9,Placed
231,3,56,8,2,13,41,51.7,Not Placed
232,4,98,5,1,17,64,100.0,Placed
233,7,65,9,6,16,47,99.44,Placed
234,4,45,8,9,17,51,84.89,Placed
235,9,82,6,10,13,47,93.97,Placed
236,1,88,8,5,10,47,78.6,Placed
237,8,48,9,2,9,76,100.0,Placed
238,7,89,4,1,12,94,100.0,Placed
239,2,56,7,3,19,72,88.1,Placed
240,8,70,9,4,15,71,100.0,Placed
241,1,51,6,7,13,44,74.71,Placed
242,11,62,9,9,2,48,88.24,Placed
243,9,93,6,8,17,77,100.0,Placed
244,9,93,9,9,5,39,97.73,Placed
245,2,44,7,7,19,70,80.29,Placed
246,7,82,7,10,2,69,93.23,Placed
247,10,75,6,8,18,80,100.0,Placed
248,3,98,9,8,2,79,70.79,Placed
249,7,75,7,1,11,90,100.0,Placed
250,10,42,5,9,7,57,80.37,Placed
251,9,97,9,2,4,39,93.24,Placed
252,4,63,7,11,16,78,84.06,Placed
253,1,94,4,7,9,91,95.8,Placed
254,2,96,4,10,20,62,100.0,Placed
255,1,56,5,10,16,57,57.7,Not Placed
256,5,78,7,5,8,76,91.85,Placed
257,5,65,4,4,12,68,91.12,Placed
258,11,43,9,1,9,65,94.57,Placed
259,7,94,8,1,7,41,92.79,Placed
260,9,84,7,3,6,41,100.0,Placed
261,9,51,5,1,1,38,73.55,Placed
262,3,40,7,8,1,78,73.74,Placed
263,3,60,6,3,3,66,68.62,Not Placed
264,3,58,6,11,8,62,43.72,Not Placed
265,4,60,4,10,13,90,95.42,Placed
266,8,91,6,2,10,38,95.62,Placed
267,6,57,5,6,20,73,100.0,Placed
268,8,82,4,4,6,86,100.0,Placed
269,1,91,5,11,18,79,86.76,Placed
270,8,42,9,11,3,42,75.41,Placed
271,4,100,5,4,1,48,75.7,Placed
272,11,88,6,2,20,64,100.0,Placed
273,1,83,9,2,18,37,96.91,Placed
274,8,71,6,11,20,36,96.17,Placed
275,4,49,5,6,17,44,76.87,Placed
276,6,79,6,5,20,40,100.0,Placed
277,8,54,6,9,6,89,100.0,Placed
278,4,44,6,4,10,41,78.35,Placed
279,3,43,7,5,9,50,73.06,Placed
280,9,97,9,1,10,40,95.44,Placed
281,3,67,9,2,8,50,78.99,Placed
282,9,92,9,3,2,61,96.04,Placed
283,2,91,5,5,4,90,83.09,Placed
284,2,90,8,5,0,46,61.41,Not Placed
285,2,92,5,4,0,56,83.56,Placed
286,6,43,9,10,19,49,77.37,Placed
287,3,54,4,3,4,56,61.1,Not Placed
288,9,56,6,9,18,69,100.0,Placed
289,4,83,6,1,5,94,92.14,Placed
290,1,42,8,6,2,82,60.97,Not Placed
291,4,49,4,7,20,84,100.0,Placed
292,1,86,7,10,12,49,73.02,Placed
293,5,81,5,4,16,57,100.0,Placed
294,4,95,7,10,2,72,73.6,Placed
295,8,62,4,3,2,83,98.92,Placed
296,8,57,8,8,20,36,91.79,Placed
297,7,40,4,9,12,36,60.88,Not Placed
298,3,74,8,1,1,83,65.89,Not Placed
299,1,92,7,11,2,53,45.94,Not Placed
300,1,97,7,10,19,39,79.76,Placed
301,11,70,4,9,15,38,100.0,Placed
302,3,98,4,7,20,62,94.64,Placed
303,6,83,6,1,11,52,99.32,Placed
304,7,40,8,7,8,74,100.0,Placed
305,6,42,6,5,15,75,91.86,Placed
306,6,42,5,10,3,90,65.34,Not Placed
307,6,76,5,7,19,89,100.0,Placed
308,3,58,4,9,17,92,100.0,Placed
309,6,68,7,8,0,84,83.85,Placed
310,8,64,5,6,6,65,90.45,Placed
311,11,72,5,2,19,56,100.0,Placed
312,11,75,6,8,11,45,100.0,Placed
313,2,100,6,4,7,82,100.0,Placed
314,5,68,5,8,7,50,73.03,Placed
315,1,97,4,7,8,38,69.08,Not Placed
316,1,65,6,4,13,55,65.75,Not Placed
317,5,43,5,8,19,75,100.0,Placed
318,3,88,7,11,4,79,82.56,Placed
319,4,53,6,11,19,59,70.5,Placed
320,3,89,5,11,20,54,91.62,Placed
321,1,66,8,2,1,42,60.17,Not Placed
322,1,72,6,9,20,77,89.42,Placed
323,5,61,8,6,9,87,100.0,Placed
324,6,87,6,7,8,43,82.43,Placed
325,3,42,6,10,6,52,52.57,Not Placed
326,9,62,9,1,17,65,100.0,Placed
327,5,60,9,3,11,86,99.8,Placed
328,8,80,8,10,10,69,96.12,Placed
329,1,62,4,5,9,89,84.8,Placed
330,5,43,5,7,12,64,72.37,Placed
331,3,60,4,1,8,52,67.99,Not Placed
332,1,76,4,9,15,53,62.9,Not Placed
333,4,82,9,5,20,75,100.0,Placed
334,5,70,5,3,16,58,100.0,Placed
335,7,60,9,7,4,84,80.79,Placed
336,1,65,9,10,5,56,63.37,Not Placed
337,3,80,9,8,9,82,89.39,Placed
338,2,97,7,10,10,48,78.09,Placed
339,9,74,4,10,1,53,75.2,Placed
340,10,77,4,3,6,94,100.0,Placed
341,6,63,4,7,13,63,90.03,Placed
342,10,50,7,7,3,56,93.39,Placed
343,3,80,6,4,4,64,92.24,Placed
344,8,68,8,10,18,49,84.33,Placed
345,8,86,8,9,20,55,100.0,Placed
346,2,94,7,1,19,60,91.56,Placed
347,6,99,4,1,9,70,94.75,Placed
348,7,42,8,5,5,46,66.98,Not Placed
349,2,40,7,3,1,41,45.38,Not Placed
350,11,91,9,10,2,45,100.0,Placed
351,10,100,5,9,14,92,100.0,Placed
352,2,93,8,5,9,73,92.06,Placed
353,10,58,5,7,16,54,100.0,Placed
354,1,85,4,1,6,69,64.38,Not Placed
355,8,88,8,2,1,38,80.72,Placed
356,1,61,7,11,6,36,46.5,Not Placed
357,9,53,6,4,14,54,83.68,Placed
358,11,88,8,9,2,81,100.0,Placed
359,6,96,8,5,4,54,90.46,Placed
360,7,98,8,5,7,46,100.0,Placed
361,10,53,8,9,3,87,98.45,Placed
362,7,83,7,8,17,51,100.0,Placed
363,10,55,7,2,18,52,100.0,Placed
364,3,72,6,7,7,74,82.88,Placed
365,2,52,7,1,5,58,80.07,Placed
366,9,77,7,10,4,42,61.88,Not Placed
367,8,88,4,11,4,71,94.26,Placed
368,10,51,4,11,16,90,100.0,Placed
369,7,94,5,9,5,75,81.85,Placed
370,9,90,6,3,12,64,100.0,Placed
371,4,77,4,2,8,54,79.28,Placed
372,4,78,6,4,11,86,100.0,Placed
373,1,72,6,4,9,57,62.84,Not Placed
374,8,72,8,3,0,71,81.82,Placed
375,3,68,9,2,10,93,100.0,Placed
376,7,44,9,5,5,44,78.99,Placed
377,2,45,9,4,2,67,70.51,Placed
378,2,70,6,5,5,58,72.57,Placed
379,7,55,8,8,8,70,100.0,Placed
380,6,70,5,11,7,90,95.04,Placed
381,3,64,5,2,14,50,63.48,Not Placed
382,9,87,9,9,5,84,100.0,Placed
383,10,85,5,10,10,62,100.0,Placed
384,6,72,8,1,9,46,100.0,Placed
385,10,52,9,8,10,54,100.0,Placed
386,10,91,8,5,3,81,100.0,Placed
387,6,49,5,2,12,52,71.63,Placed
388,1,63,9,8,7,71,54.4,Not Placed
389,4,49,8,5,19,92,100.0,Placed
390,10,80,7,10,14,60,100.0,Placed
391,6,70,7,10,6,80,82.52,Placed
392,6,52,8,3,0,90,95.68,Placed
393,11,42,8,7,8,93,88.26,Placed
394,5,98,4,4,7,41,74.86,Placed
395,1,89,4,11,1,77,34.97,Not Placed
396,8,91,6,11,13,81,100.0,Placed
397,5,73,9,10,11,55,82.93,Placed
398,5,88,6,6,16,77,100.0,Placed
399,7,67,6,10,18,66,89.28,Placed
400,4,58,5,8,5,41,56.33,Not Placed
401,6,62,7,1,20,87,100.0,Placed
402,4,84,5,2,4,57,76.38,Placed
403,3,71,9,8,5,54,66.92,Not Placed
404,7,52,8,7,2,54,73.27,Placed
405,8,72,4,10,15,66,91.98,Placed
406,4,73,9,9,17,60,98.3,Placed
407,2,72,8,2,13,70,100.0,Placed
408,10,95,9,8,14,93,100.0,Placed
409,3,44,8,6,3,58,81.78,Placed
410,1,95,4,1,10,35,69.09,Not Placed
411,8,42,8,4,4,92,100.0,Placed
412,3,100,6,2,8,87,90.8,Placed
413,10,99,9,7,4,62,100.0,Placed
414,7,46,4,9,6,60,68.9,Not Placed
415,10,63,8,6,17,68,100.0,Placed
416,5,61,6,4,17,60,87.32,Placed
417,10,84,6,5,19,70,100.0,Placed
418,5,100,7,11,1,39,80.74,Placed
419,7,62,6,1,12,90,100.0,Placed
420,9,69,5,4,12,36,97.66,Placed
421,5,99,4,10,16,66,87.52,Placed
422,1,57,4,3,16,68,81.56,Placed
423,10,71,4,9,5,84,93.27,Placed
424,10,95,8,6,13,64,100.0,Placed
425,1,92,9,4,20,58,89.01,Placed
426,2,46,8,3,13,62,77.3,Placed
427,6,72,5,4,11,80,93.9,Placed
428,9,44,9,8,4,37,81.28,Placed
429,8,88,6,5,4,87,100.0,Placed
430,5,67,8,11,3,84,83.78,Placed
431,1,100,9,1,12,88,100.0,Placed
432,7,47,6,5,3,44,69.72,Not Placed
433,5,54,9,8,17,40,76.29,Placed
434,6,91,6,11,15,68,100.0,Placed
435,7,43,9,4,17,65,89.29,Placed
436,3,73,8,2,1,86,100.0,Placed
437,10,44,8,3,3,77,100.0,Placed
438,3,72,5,11,19,84,76.87,Placed
439,5,96,7,9,16,80,100.0,Placed
440,6,44,4,7,19,92,100.0,Placed
441,9,77,8,3,5,86,100.0,Placed
442,5,73,8,5,17,47,82.71,Placed
443,1,97,6,3,19,95,94.52,Placed
444,4,65,7,10,6,93,87.15,Placed
445,5,40,8,4,12,73,92.33,Placed
446,10,43,9,8,8,87,100.0,Placed
447,10,78,7,3,1,92,100.0,Placed
448,5,93,4,3,7,54,73.6,Placed
449,7,65,9,11,13,66,100.0,Placed
450,4,72,6,11,17,44,79.04,Placed
451,1,72,5,8,0,60,42.55,Not Placed
452,5,47,9,10,8,53,80.36,Placed
453,7,59,4,10,8,63,58.39,Not Placed
454,10,55,9,7,1,95,100.0,Placed
455,10,60,7,7,15,47,98.58,Placed
456,6,84,7,10,3,88,85.88,Placed
457,5,94,4,2,12,68,100.0,Placed
458,4,95,7,7,16,54,99.99,Placed
459,2,65,9,10,10,78,68.42,Not Placed
460,4,62,5,11,1,74,63.01,Not Placed
461,10,57,9,10,3,52,89.57,Placed
462,10,70,5,3,11,91,100.0,Placed
463,3,91,7,7,1,68,64.0,Not Placed
464,10,81,9,4,0,82,100.0,Placed
465,1,51,7,8,5,42,55.01,Not Placed
466,8,40,5,8,15,50,91.44,Placed
467,5,81,7,6,1,74,75.07,Placed
468,4,48,8,3,13,57,83.52,Placed
469,8,42,6,6,19,66,82.22,Placed
470,7,99,9,6,11,47,100.0,Placed
471,2,90,8,3,18,60,92.38,Placed
472,1,65,7,11,2,72,50.9,Not Placed
473,11,48,7,4,18,35,95.45,Placed
474,4,81,6,2,10,36,87.91,Placed
475,8,90,7,1,3,73,100.0,Placed
476,2,55,6,2,16,47,71.2,Placed
477,3,63,9,7,16,61,77.52,Placed
478,1,89,5,10,6,38,53.1,Not Placed
479,1,53,6,5,4,75,58.61,Not Placed
480,3,100,6,9,18,85,100.0,Placed
481,11,42,8,3,20,54,100.0,Placed
482,5,73,7,2,18,37,93.27,Placed
483,3,72,9,4,8,57,88.3,Placed
484,1,89,5,2,16,36,60.94,Not Placed
485,1,63,4,11,8,50,46.59,Not Placed
486,8,48,6,7,13,44,89.02,Placed
487,10,52,4,10,4,62,78.12,Placed
488,11,41,7,6,1,78,98.61,Placed
489,2,46,6,8,14,52,68.22,Not Placed
490,3,87,4,5,15,36,85.79,Placed
491,2,60,8,2,18,48,83.06,Placed
492,3,58,4,4,0,78,43.47,Not Placed
493,7,64,8,1,11,54,84.62,Placed
494,1,86,5,2,18,90,100.0,Placed
495,10,61,7,4,19,90,100.0,Placed
496,8,50,9,6,14,90,100.0,Placed
497,10,72,4,4,4,74,98.87,Placed
498,10,71,6,4,0,57,84.82,Placed
499,10,60,7,11,10,88,100.0,Placed
500,2,78,4,10,8,94,71.53,Placed
501,3,59,6,10,6,41,52.31,Not Placed
502,9,47,6,2,1,79,94.02,Placed
503,7,81,9,9,16,81,100.0,Placed
504,4,76,9,10,15,48,83.22,Placed
505,10,48,6,8,15,71,100.0,Placed
506,5,64,9,8,13,42,92.59,Placed
507,2,64,6,5,1,84,81.69,Placed
508,11,72,4,3,18,39,100.0,Placed
509,8,41,5,6,2,57,67.69,Not Placed
510,4,58,9,9,7,75,80.46,Placed
511,9,85,8,8,20,44,100.0,Placed
512,5,59,8,7,18,83,100.0,Placed
513,9,81,8,11,15,61,100.0,Placed
514,4,80,5,8,3,91,82.36,Placed
515,10,81,6,4,7,69,100.0,Placed
516,5,68,6,6,0,35,65.59,Not Placed
517,9,45,7,5,3,41,95.16,Placed
518,8,56,8,2,6,81,96.72,Placed
519,3,99,8,8,0,85,85.44,Placed
520,1,64,6,3,17,42,71.99,Placed
521,3,77,8,5,3,45,59.16,Not Placed
522,4,43,6,8,19,68,79.8,Placed
523,2,69,6,11,13,86,77.34,Placed
524,1,59,9,9,7,62,79.93,Placed
525,7,42,6,9,17,68,100.0,Placed
526,8,62,4,5,6,77,83.47,Placed
527,7,90,4,2,2,54,90.65,Placed
528,5,57,4,7,20,62,81.79,Placed
529,1,65,4,11,13,83,64.74,Not Placed
530,7,95,5,11,11,95,100.0,Placed
531,7,75,7,7,14,76,100.0,Placed
532,9,47,7,8,7,71,74.46,Placed
533,3,56,6,8,4,37,52.31,Not Placed
534,9,70,8,5,16,43,100.0,Placed
535,1,76,4,1,9,86,78.75,Placed
536,1,84,7,11,10,56,68.81,Not Placed
537,4,96,7,4,15,59,96.04,Placed
538,9,72,4,4,15,36,100.0,Placed
539,6,66,5,11,3,57,64.48,Not Placed
540,11,84,5,3,4,85,100.0,Placed
541,3,43,7,8,9,51,73.05,Placed
542,1,61,5,3,13,91,93.05,Placed
543,4,65,9,5,8,59,81.26,Placed
544,9,71,4,2,17,46,84.23,Placed
545,3,63,7,6,19,61,95.5,Placed
546,9,85,4,6,5,54,76.94,Placed
547,7,74,5,8,10,43,87.42,Placed
548,4,76,4,8,20,57,93.83,Placed
549,3,71,5,1,16,70,92.03,Placed
550,10,46,5,5,8,62,95.27,Placed
551,5,72,4,2,2,84,98.35,Placed
552,5,70,5,10,15,82,100.0,Placed
553,3,94,9,5,19,63,100.0,Placed
554,9,100,6,10,3,87,86.4,Placed
555,4,51,4,9,14,90,100.0,Placed
556,11,50,6,4,1,76,82.32,Placed
557,5,63,4,8,19,92,100.0,Placed
558,4,47,5,1,16,88,97.37,Placed
559,5,71,5,8,18,66,99.45,Placed
560,7,96,7,6,19,46,100.0,Placed
561,9,77,9,8,15,64,100.0,Placed
562,7,99,7,6,18,94,100.0,Placed
563,5,61,6,11,20,45,87.95,Placed
564,10,73,5,3,16,71,100.0,Placed
565,10,58,7,11,3,54,77.46,Placed
566,7,91,5,8,17,45,97.08,Placed
567,10,59,4,5,3,82,100.0,Placed
568,5,95,7,10,20,81,100.0,Placed
569,3,53,6,5,2,72,76.51,Placed
570,7,72,7,7,17,79,100.0,Placed
571,11,49,5,6,20,50,100.0,Placed
572,11,55,8,9,19,93,100.0,Placed
573,2,43,8,7,4,69,62.88,Not Placed
574,9,66,9,3,8,84,100.0,Placed
575,10,67,5,11,14,35,92.22,Placed
576,10,100,4,11,8,59,83.98,Placed
577,1,82,7,5,13,83,84.08,Placed
578,6,55,8,9,20,61,100.0,Placed
579,7,98,4,11,1,86,88.7,Placed
580,8,91,5,10,17,66,100.0,Placed
581,10,72,4,2,12,40,83.96,Placed
582,9,87,5,1,20,75,100.0,Placed
583,2,58,9,11,15,70,78.15,Placed
584,11,60,7,8,5,73,100.0,Placed
585,10,61,4,8,15,57,100.0,Placed
586,2,48,7,2,3,63,60.62,Not Placed
587,5,48,4,8,9,64,68.05,Not Placed
588,5,48,5,5,18,56,81.4,Placed
589,6,66,5,2,10,91,100.0,Placed
590,3,56,4,7,4,45,61.74,Not Placed
591,8,83,9,7,17,60,100.0,Placed
592,1,96,5,3,2,57,45.38,Not Placed
593,6,84,6,1,7,37,87.39,Placed
594,4,47,6,11,10,82,88.46,Placed
595,1,55,7,4,20,40,78.76,Placed
596,7,57,6,2,18,41,88.19,Placed
597,9,100,6,4,20,78,100.0,Placed
598,4,98,9,8,2,73,86.56,Placed
599,4,72,9,2,11,95,100.0,Placed
600,6,40,8,1,14,88,98.32,Placed
601,3,51,8,11,15,85,100.0,Placed
602,6,45,9,3,4,56,76.17,Placed
603,7,80,8,10,18,82,100.0,Placed
604,11,94,9,7,5,84,100.0,Placed
605,10,44,8,6,11,76,94.96,Placed
606,10,98,5,6,18,95,100.0,Placed
607,3,55,9,7,8,67,81.56,Placed
608,7,57,7,8,17,74,100.0,Placed
609,3,88,7,3,2,37,56.75,Not Placed
610,2,57,9,3,13,64,82.71,Placed
611,10,40,6,10,20,82,100.0,Placed
612,4,58,7,8,4,58,63.17,Not Placed
613,8,93,6,7,4,37,76.75,Placed
614,9,100,7,10,3,36,93.94,Placed
615,7,47,4,5,15,78,87.31,Placed
616,1,42,4,4,12,74,69.74,Not Placed
617,3,97,9,6,7,53,87.72,Placed
618,9,64,7,9,20,58,100.0,Placed
619,1,97,5,6,15,84,96.31,Placed
620,9,44,6,8,1,54,65.19,Not Placed
621,8,94,7,1,7,91,100.0,Placed
622,1,79,9,6,2,81,71.38,Placed
